b,d,g,instance,l_nm,model,s,source_file,source_line,type,w_nm
VDD,Z,A,MP_A,50,PMOS_VTG,VDD,wordline_driver.py,pnand2_stage,PMOS,270
VDD,Z,B,MP_B,50,PMOS_VTG,VDD,wordline_driver.py,pnand2_stage,PMOS,270
VSS,NINT,A,MN_A,50,NMOS_VTG,Z,wordline_driver.py,pnand2_stage,NMOS,180
VSS,VSS,B,MN_B,50,NMOS_VTG,NINT,wordline_driver.py,pnand2_stage,NMOS,180
