architecture,child_overlap,estimated_wire_length,bbox_area,via1_count,m2_route_count,connectivity_passed,unexpected_net_merge_count,missing_expected_endpoint_count,floating_required_pin_count,drc_marker_count,drc_passed,route_segment_count,selected_routing_architecture
SINGLE_ROW_SOURCE_ORDER,0,154.565,58.142306,60,30,True,0,0,0,0,True,41,M1_HORIZONTAL_TRACK_M2_VERTICAL_DROP
TWO_ROW_MASTER_SLAVE_MICRO_FLOORPLAN,0,158.5275,60.25655,60,30,False,2,12,0,1,False,41,M1_HORIZONTAL_TRACK_M2_VERTICAL_DROP
THREE_ZONE_CLOCK_MASTER_SLAVE,0,240.97,95.601075,60,30,False,1,12,0,2,False,41,M1_HORIZONTAL_TRACK_M2_VERTICAL_DROP
