layer,delta_before,delta_after
1/0,0,0
10/0,0,0
11/0,303,0
12/0,160,0
13/0,441,0
13/2,0,0
14/0,200,0
15/0,223,0
15/2,0,0
16/0,176,0
17/0,53,0
17/2,0,0
2/0,0,0
239/0,0,0
3/0,0,0
4/0,0,0
5/0,0,0
6/0,0,0
9/0,0,0
