cell_name,hierarchy_cell_name,instance_path,label_text,label_layer,label_datatype,origin_x,origin_y,conductive_component_id,is_canonical,is_lowercase_alias,is_internal_device_terminal,duplication_source,exact_duplicate_count,same_component_distinct_label_names
PINV_NW90_PW270_L50,PINV_NW90_PW270_L50,PINV_NW90_PW270_L50,Z,11,0,0.3725,0.865,contact_58,True,False,False,TOP_WRAPPER_CANONICAL,1,Z
PINV_NW910_PW2430_L50,PINV_NW910_PW2430_L50,PINV_NW910_PW2430_L50,VDD,11,0,0.8935,1.82,contact_134,True,False,False,TOP_WRAPPER_CANONICAL,1,VDD
PINV_NW910_PW2430_L50,PINV_NW910_PW2430_L50,PINV_NW910_PW2430_L50,VSS,11,0,0.8935,0.0,contact_140,True,False,False,TOP_WRAPPER_CANONICAL,1,VSS
PINV_NW910_PW2430_L50,PINV_NW910_PW2430_L50,PINV_NW910_PW2430_L50,A,11,0,0.14,0.835,contact_146,True,False,False,TOP_WRAPPER_CANONICAL,1,A
PINV_NW910_PW2430_L50,PINV_NW910_PW2430_L50,PINV_NW910_PW2430_L50,Z,11,0,0.9375,0.835,contact_128,True,False,False,TOP_WRAPPER_CANONICAL,1,Z
TRANSMISSION_GATE_NW250_PW500_L50,TRANSMISSION_GATE_NW250_PW500_L50,TRANSMISSION_GATE_NW250_PW500_L50,VDD,11,0,0.28,1.82,contact_69,True,False,False,TOP_WRAPPER_CANONICAL,1,VDD
TRANSMISSION_GATE_NW250_PW500_L50,TRANSMISSION_GATE_NW250_PW500_L50,TRANSMISSION_GATE_NW250_PW500_L50,VSS,11,0,0.28,0.0,contact_75,True,False,False,TOP_WRAPPER_CANONICAL,1,VSS
TRANSMISSION_GATE_NW250_PW500_L50,TRANSMISSION_GATE_NW250_PW500_L50,TRANSMISSION_GATE_NW250_PW500_L50,IN,11,0,0.125,0.8475,contact_57,True,False,False,TOP_WRAPPER_CANONICAL,1,IN
TRANSMISSION_GATE_NW250_PW500_L50,TRANSMISSION_GATE_NW250_PW500_L50,TRANSMISSION_GATE_NW250_PW500_L50,OUT,11,0,0.34,0.8475,contact_63,True,False,False,TOP_WRAPPER_CANONICAL,1,OUT
TRANSMISSION_GATE_NW250_PW500_L50,TRANSMISSION_GATE_NW250_PW500_L50,TRANSMISSION_GATE_NW250_PW500_L50,CTR_P,11,0,0.65,1.0575,contact_81,True,False,False,TOP_WRAPPER_CANONICAL,1,CTR_P
TRANSMISSION_GATE_NW250_PW500_L50,TRANSMISSION_GATE_NW250_PW500_L50,TRANSMISSION_GATE_NW250_PW500_L50,CTR_N,11,0,0.65,0.5125,contact_85,True,False,False,TOP_WRAPPER_CANONICAL,1,CTR_N
