instance_id,parent_module,instance_name,instance_type,module_name,pin_count,nets,source_trace
SRAM_6T_CORE_16x16.XSRAM_6T_CELL_10_14,SRAM_6T_CORE_16x16,XSRAM_6T_CELL_10_14,X,SRAM_6T_CELL,5,"['VDD', 'VSS', 'BL14', 'BLB14', 'WL10']","{'source_file': 'sram_compiler/subcircuits/sram_6t_core.py', 'source_class': 'Sram6TCell', 'source_module_name': 'SRAM_6T_CELL', 'role_hint': 'bitcell'}"
SRAM_6T_CORE_16x16.XSRAM_6T_CELL_10_15,SRAM_6T_CORE_16x16,XSRAM_6T_CELL_10_15,X,SRAM_6T_CELL,5,"['VDD', 'VSS', 'BL15', 'BLB15', 'WL10']","{'source_file': 'sram_compiler/subcircuits/sram_6t_core.py', 'source_class': 'Sram6TCell', 'source_module_name': 'SRAM_6T_CELL', 'role_hint': 'bitcell'}"
SRAM_6T_CORE_16x16.XSRAM_6T_CELL_11_0,SRAM_6T_CORE_16x16,XSRAM_6T_CELL_11_0,X,SRAM_6T_CELL,5,"['VDD', 'VSS', 'BL0', 'BLB0', 'WL11']","{'source_file': 'sram_compiler/subcircuits/sram_6t_core.py', 'source_class': 'Sram6TCell', 'source_module_name': 'SRAM_6T_CELL', 'role_hint': 'bitcell'}"
SRAM_6T_CORE_16x16.XSRAM_6T_CELL_11_1,SRAM_6T_CORE_16x16,XSRAM_6T_CELL_11_1,X,SRAM_6T_CELL,5,"['VDD', 'VSS', 'BL1', 'BLB1', 'WL11']","{'source_file': 'sram_compiler/subcircuits/sram_6t_core.py', 'source_class': 'Sram6TCell', 'source_module_name': 'SRAM_6T_CELL', 'role_hint': 'bitcell'}"
SRAM_6T_CORE_16x16.XSRAM_6T_CELL_11_2,SRAM_6T_CORE_16x16,XSRAM_6T_CELL_11_2,X,SRAM_6T_CELL,5,"['VDD', 'VSS', 'BL2', 'BLB2', 'WL11']","{'source_file': 'sram_compiler/subcircuits/sram_6t_core.py', 'source_class': 'Sram6TCell', 'source_module_name': 'SRAM_6T_CELL', 'role_hint': 'bitcell'}"
SRAM_6T_CORE_16x16.XSRAM_6T_CELL_11_3,SRAM_6T_CORE_16x16,XSRAM_6T_CELL_11_3,X,SRAM_6T_CELL,5,"['VDD', 'VSS', 'BL3', 'BLB3', 'WL11']","{'source_file': 'sram_compiler/subcircuits/sram_6t_core.py', 'source_class': 'Sram6TCell', 'source_module_name': 'SRAM_6T_CELL', 'role_hint': 'bitcell'}"
SRAM_6T_CORE_16x16.XSRAM_6T_CELL_11_4,SRAM_6T_CORE_16x16,XSRAM_6T_CELL_11_4,X,SRAM_6T_CELL,5,"['VDD', 'VSS', 'BL4', 'BLB4', 'WL11']","{'source_file': 'sram_compiler/subcircuits/sram_6t_core.py', 'source_class': 'Sram6TCell', 'source_module_name': 'SRAM_6T_CELL', 'role_hint': 'bitcell'}"
SRAM_6T_CORE_16x16.XSRAM_6T_CELL_11_5,SRAM_6T_CORE_16x16,XSRAM_6T_CELL_11_5,X,SRAM_6T_CELL,5,"['VDD', 'VSS', 'BL5', 'BLB5', 'WL11']","{'source_file': 'sram_compiler/subcircuits/sram_6t_core.py', 'source_class': 'Sram6TCell', 'source_module_name': 'SRAM_6T_CELL', 'role_hint': 'bitcell'}"
SRAM_6T_CORE_16x16.XSRAM_6T_CELL_11_6,SRAM_6T_CORE_16x16,XSRAM_6T_CELL_11_6,X,SRAM_6T_CELL,5,"['VDD', 'VSS', 'BL6', 'BLB6', 'WL11']","{'source_file': 'sram_compiler/subcircuits/sram_6t_core.py', 'source_class': 'Sram6TCell', 'source_module_name': 'SRAM_6T_CELL', 'role_hint': 'bitcell'}"
SRAM_6T_CORE_16x16.XSRAM_6T_CELL_11_7,SRAM_6T_CORE_16x16,XSRAM_6T_CELL_11_7,X,SRAM_6T_CELL,5,"['VDD', 'VSS', 'BL7', 'BLB7', 'WL11']","{'source_file': 'sram_compiler/subcircuits/sram_6t_core.py', 'source_class': 'Sram6TCell', 'source_module_name': 'SRAM_6T_CELL', 'role_hint': 'bitcell'}"
SRAM_6T_CORE_16x16.XSRAM_6T_CELL_11_8,SRAM_6T_CORE_16x16,XSRAM_6T_CELL_11_8,X,SRAM_6T_CELL,5,"['VDD', 'VSS', 'BL8', 'BLB8', 'WL11']","{'source_file': 'sram_compiler/subcircuits/sram_6t_core.py', 'source_class': 'Sram6TCell', 'source_module_name': 'SRAM_6T_CELL', 'role_hint': 'bitcell'}"
