instance_id,parent_module,instance_name,instance_type,module_name,pin_count,nets,source_trace
sram_17x1_replica_column.XReplica_CELL_14,sram_17x1_replica_column,XReplica_CELL_14,X,Replica_CELL,5,"['VDD', 'VSS', 'RBL', 'RBLB', 'WL14']","{'source_file': 'sram_compiler/subcircuits/replica_column.py', 'source_class': 'Replica_Cell', 'source_module_name': 'Replica_CELL', 'role_hint': 'replica'}"
sram_17x1_replica_column.XReplica_CELL_15,sram_17x1_replica_column,XReplica_CELL_15,X,Replica_CELL,5,"['VDD', 'VSS', 'RBL', 'RBLB', 'WL15']","{'source_file': 'sram_compiler/subcircuits/replica_column.py', 'source_class': 'Replica_Cell', 'source_module_name': 'Replica_CELL', 'role_hint': 'replica'}"
sram_17x1_replica_column.XReplica_CELL_16,sram_17x1_replica_column,XReplica_CELL_16,X,Replica_CELL,5,"['VDD', 'VSS', 'RBL', 'RBLB', 'WL16']","{'source_file': 'sram_compiler/subcircuits/replica_column.py', 'source_class': 'Replica_Cell', 'source_module_name': 'Replica_CELL', 'role_hint': 'replica'}"
Replica_CELL.MPGL,Replica_CELL,MPGL,M,NMOS_VTG,4,"['RBL', 'WL', 'Q', 'VSS']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'NMOS_VTG', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
Replica_CELL.MPGR,Replica_CELL,MPGR,M,NMOS_VTG,4,"['RBLB', 'WL', 'VDD', 'VSS']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'NMOS_VTG', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
Replica_CELL.MPDL,Replica_CELL,MPDL,M,NMOS_VTG,4,"['Q', 'VDD', 'VSS', 'VSS']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'NMOS_VTG', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
Replica_CELL.MPUL,Replica_CELL,MPUL,M,PMOS_VTG,4,"['Q', 'VDD', 'VDD', 'VDD']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'PMOS_VTG', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
Replica_CELL.MPDR,Replica_CELL,MPDR,M,NMOS_VTG,4,"['VDD', 'Q', 'VSS', 'VSS']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'NMOS_VTG', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
Replica_CELL.MPUR,Replica_CELL,MPUR,M,PMOS_VTG,4,"['VDD', 'Q', 'VDD', 'VDD']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'PMOS_VTG', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
AND2.XPNAND3,AND2,XPNAND3,X,PNAND2,5,"['VDD', 'VSS', 'A', 'B', 'zb_int']","{'source_file': 'sram_compiler/subcircuits/standard_cell.py', 'source_class': 'PNAND2', 'source_module_name': 'PNAND2', 'role_hint': 'support_cell'}"
AND2.XPINV,AND2,XPINV,X,PINV,4,"['VDD', 'VSS', 'zb_int', 'Z']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'PINV', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
PNAND2.Mpnand2_pmos1,PNAND2,Mpnand2_pmos1,M,PMOS_VTG,4,"['Z', 'A', 'VDD', 'VDD']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'PMOS_VTG', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
PNAND2.Mpnand2_pmos2,PNAND2,Mpnand2_pmos2,M,PMOS_VTG,4,"['Z', 'B', 'VDD', 'VDD']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'PMOS_VTG', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
PNAND2.Mpnand2_nmos1,PNAND2,Mpnand2_nmos1,M,NMOS_VTG,4,"['Z', 'B', 'net1', 'VSS']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'NMOS_VTG', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
PNAND2.Mpnand2_nmos2,PNAND2,Mpnand2_nmos2,M,NMOS_VTG,4,"['net1', 'A', 'VSS', 'VSS']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'NMOS_VTG', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
PINV.Mpinv_pmos,PINV,Mpinv_pmos,M,PMOS_VTG,4,"['Z', 'A', 'VDD', 'VDD']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'PMOS_VTG', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
PINV.Mpinv_nmos,PINV,Mpinv_nmos,M,NMOS_VTG,4,"['Z', 'A', 'VSS', 'VSS']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'NMOS_VTG', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
TIME.Xdff_buf_addr,TIME,Xdff_buf_addr,X,ADDR_DFF,11,"['VDD', 'VSS', 'clk_buf', 'A0', 'A1', 'A2', 'A3', 'A_dff0', 'A_dff1', 'A_dff2', 'A_dff3']","{'source_file': 'sram_compiler/subcircuits/time_generate.py', 'source_class': 'ADDR_DFF', 'source_module_name': 'ADDR_DFF', 'role_hint': 'control_timing'}"
