module_name,physical_role,pin_name,pin_category,net_category,pin_status,suggested_access_edge,suggested_access_direction,source_layer,synthesis_rule
bitcell_array,ARRAY_CORE,BL[0],BITLINE,BITLINE,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
bitcell_array,ARRAY_CORE,BL[1],BITLINE,BITLINE,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
bitcell_array,ARRAY_CORE,BL[2],BITLINE,BITLINE,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
bitcell_array,ARRAY_CORE,BL[3],BITLINE,BITLINE,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
bitcell_array,ARRAY_CORE,BR[0],BITLINE,BITLINE,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
bitcell_array,ARRAY_CORE,BR[1],BITLINE,BITLINE,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
bitcell_array,ARRAY_CORE,BR[2],BITLINE,BITLINE,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
bitcell_array,ARRAY_CORE,BR[3],BITLINE,BITLINE,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
bitcell_array,ARRAY_CORE,GND,GROUND,GROUND,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,11,
bitcell_array,ARRAY_CORE,Q[0],DATA_OUT,DATA_OUT,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
bitcell_array,ARRAY_CORE,Q[1],DATA_OUT,DATA_OUT,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
bitcell_array,ARRAY_CORE,Q[2],DATA_OUT,DATA_OUT,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
bitcell_array,ARRAY_CORE,Q[3],DATA_OUT,DATA_OUT,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
bitcell_array,ARRAY_CORE,Q_bar[0],BITLINE_BAR,BITLINE_BAR,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
bitcell_array,ARRAY_CORE,Q_bar[1],BITLINE_BAR,BITLINE_BAR,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
bitcell_array,ARRAY_CORE,Q_bar[2],BITLINE_BAR,BITLINE_BAR,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
bitcell_array,ARRAY_CORE,Q_bar[3],BITLINE_BAR,BITLINE_BAR,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
bitcell_array,ARRAY_CORE,VDD,POWER,POWER,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,11,
bitcell_array,ARRAY_CORE,WL[0],WORDLINE,WORDLINE,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
bitcell_array,ARRAY_CORE,WL[1],WORDLINE,WORDLINE,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
bitcell_array,ARRAY_CORE,WL[2],WORDLINE,WORDLINE,GEOMETRY_BACKED_PIN,localized_shape,shape_backed_access,13,
