reference_config,source_file,source_class,source_instance_path,logical_alias,parameter_expression,drive_scale_inputs,resolved_drive_scale,resolved_nmos_width_nm,resolved_pmos_width_nm,resolved_channel_length_nm,canonical_physical_cell_name,cache_key,parameter_resolution_status,resolution_source_trace
16x16,time_generate.py,DFF_BUF,DFF_BUF.inv2,PINV2,NW360|PW1080|L50,"{""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}",1.0,360,1080,50,PINV_NW360_PW1080_L50,ce125f7c04e246851ed8879c,RESOLVED_CONCRETE,"{""config"": ""16x16"", ""scales"": {""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""DFF_BUF.inv2""}"
16x16,time_generate.py,DelayChain,DelayChain.inv,PINV1,NW90|PW270|L50,"{""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}",1.0,90,270,50,PINV_NW90_PW270_L50,9fe2f90c30344295dc62fc44,RESOLVED_CONCRETE,"{""config"": ""16x16"", ""scales"": {""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""DelayChain.inv""}"
16x16,time_generate.py,WenDelayChain,WenDelayChain.inv,PINV_wen_delay,NW90|PW270|L50,"{""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}",1.0,90,270,50,PINV_NW90_PW270_L50,9fe2f90c30344295dc62fc44,RESOLVED_CONCRETE,"{""config"": ""16x16"", ""scales"": {""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""WenDelayChain.inv""}"
16x16,time_generate.py,TIME,TIME.inv_clk_bar,PINV,NW90|PW270|L50,"{""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}",1.0,90,270,50,PINV_NW90_PW270_L50,9fe2f90c30344295dc62fc44,RESOLVED_CONCRETE,"{""config"": ""16x16"", ""scales"": {""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""TIME.inv_clk_bar""}"
16x16,time_generate.py,TIME,TIME.inv_wl_en_bar,PINV_wl_en_bar,NW90|PW270|L50,"{""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}",1.0,90,270,50,PINV_NW90_PW270_L50,9fe2f90c30344295dc62fc44,RESOLVED_CONCRETE,"{""config"": ""16x16"", ""scales"": {""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""TIME.inv_wl_en_bar""}"
16x16,time_generate.py,TIME,TIME.inv_rbl_delay_bar,PINV,NW90|PW270|L50,"{""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}",1.0,90,270,50,PINV_NW90_PW270_L50,9fe2f90c30344295dc62fc44,RESOLVED_CONCRETE,"{""config"": ""16x16"", ""scales"": {""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""TIME.inv_rbl_delay_bar""}"
16x16,time_generate.py,AND2,AND2.inv_driver,PINV,NW90|PW270|L50,"{""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}",1.0,90,270,50,PINV_NW90_PW270_L50,9fe2f90c30344295dc62fc44,RESOLVED_CONCRETE,"{""config"": ""16x16"", ""scales"": {""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""AND2.inv_driver""}"
16x16,time_generate.py,AND3,AND3.inv_driver,PINV,NW90|PW270|L50,"{""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}",1.0,90,270,50,PINV_NW90_PW270_L50,9fe2f90c30344295dc62fc44,RESOLVED_CONCRETE,"{""config"": ""16x16"", ""scales"": {""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""AND3.inv_driver""}"
16x16,time_generate.py,D_latch,D_latch.inv1,PINV,NW180|PW270|L50,"{""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}",1.0,180,270,50,PINV_NW180_PW270_L50,43ff85e0ee97a2ea2ae724ce,RESOLVED_CONCRETE,"{""config"": ""16x16"", ""scales"": {""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""D_latch.inv1""}"
64x8,time_generate.py,pdrive,pdrive.inv1,PINV1,"NW(90*(max(1.0, float(drive_scale))**0.25))|PW(270*(max(1.0, float(drive_scale))**0.25))|L50","{""address_bits"": 6, ""clk_dff_count"": 16, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.13846153846153847, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 4.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}",1.0,90,270,50,PINV_NW90_PW270_L50,9fe2f90c30344295dc62fc44,RESOLVED_CONCRETE,"{""config"": ""64x8"", ""scales"": {""address_bits"": 6, ""clk_dff_count"": 16, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.13846153846153847, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 4.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""pdrive.inv1""}"
