metric,golden,reproduced,match
file_size_bytes,389826,290242,False
top_cell,sram_8x64_wpr4_fd45,sram_8x64_wpr4_fd45,True
cell_count,33,33,True
sref_count,788,788,True
boundary_count,5418,3862,False
text_count,136,136,True
bbox,"{'x0': -0.1, 'y0': -0.105, 'x1': 36.6225, 'y1': 44.145, 'width': 36.722500000000004, 'height': 44.25, 'shape_count': 5418}","{'x0': -0.1, 'y0': -0.105, 'x1': 36.6225, 'y1': 44.145, 'width': 36.722500000000004, 'height': 44.25, 'shape_count': 3862}",False
layer_datatype_summary,"{'1/0': 358, '10/0': 284, '11/0': 1083, '12/0': 389, '13/0': 1446, '13/2': 11, '14/0': 356, '15/0': 552, '15/2': 14, '16/0': 176, '17/0': 73, '17/2': 2, '2/0': 57, '239/0': 38, '3/0': 45, '4/0': 67, '5/0': 58, '6/0': 64, '9/0': 345}","{'1/0': 358, '10/0': 284, '11/0': 780, '12/0': 229, '13/0': 1005, '13/2': 11, '14/0': 156, '15/0': 329, '15/2': 14, '17/0': 20, '17/2': 2, '2/0': 57, '239/0': 38, '3/0': 45, '4/0': 67, '5/0': 58, '6/0': 64, '9/0': 345}",False
per_layer_shape_count,"{'1/0': 358, '10/0': 284, '11/0': 1083, '12/0': 389, '13/0': 1446, '13/2': 11, '14/0': 356, '15/0': 552, '15/2': 14, '16/0': 176, '17/0': 73, '17/2': 2, '2/0': 57, '239/0': 38, '3/0': 45, '4/0': 67, '5/0': 58, '6/0': 64, '9/0': 345}","{'1/0': 358, '10/0': 284, '11/0': 780, '12/0': 229, '13/0': 1005, '13/2': 11, '14/0': 156, '15/0': 329, '15/2': 14, '17/0': 20, '17/2': 2, '2/0': 57, '239/0': 38, '3/0': 45, '4/0': 67, '5/0': 58, '6/0': 64, '9/0': 345}",False
