gds_path,cell_name,top_cell,parent_cells,child_cells,bbox,geometry_area,polygon_count,path_count,text_count,instance_count,layer_datatype_pairs,pin_texts,pin_polygon_count,power_texts,power_polygon_count,has_non_debug_geometry,has_only_debug_geometry,contains_annotation_layer,contains_module_gds_qualification_debug,contains_UNKNOWN_GOLDEN_REGION,empty_cell,orphan_geometry,source_generation_report,source_netlist_trace,source_commit_or_hash,parse_status
/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/GATED_CLOCK_PATH/GATED_CLOCK_PATH.gds,GATED_CLOCK_PATH,True,,gen_inv|gen_inv|gen_inv|gen_inv|gen_nand2,"{""x0"": 0.025, ""y0"": 0.047, ""x1"": 2.683, ""y1"": 2.913, ""width"": 2.658, ""height"": 2.8659999999999997}",0.0,0,0,0,5,,,0,,0,False,False,False,False,False,False,False,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/GATED_CLOCK_PATH/generation_report.json,buffer|gated_clock_leaf_gate|inv|nand2,b3aeb17c0a125cb22b8379d3c5900a60460f9346db34548c76d44d719e29d547,PARSED_WITH_MISSING_CHILD_REFERENCE
/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/GATED_CLOCK_PATH/GATED_CLOCK_PATH.gds,gen_inv,False,GATED_CLOCK_PATH|GATED_CLOCK_PATH|GATED_CLOCK_PATH|GATED_CLOCK_PATH,sram_1rw_32x16_freepdk45_contact_12|sram_1rw_32x16_freepdk45_contact_13|sram_1rw_32x16_freepdk45_contact_14|sram_1rw_32x16_freepdk45_nmos_m1_w0_090_sm1_dm1_da_p|sram_1rw_32x16_freepdk45_pmos_m1_w0_270_sm1_dm1_da_p,"{""x0"": -0.055, ""y0"": -0.033, ""x1"": 0.743, ""y1"": 1.4000000000000001, ""width"": 0.798, ""height"": 1.433}",4.426475,17,0,4,5,2/0|3/0|6/0|9/0|11/0|239/0,A|Z|gnd|vdd,4,gnd|vdd,2,True,False,False,False,False,False,False,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/GATED_CLOCK_PATH/generation_report.json,buffer|gated_clock_leaf_gate|inv|nand2,b3aeb17c0a125cb22b8379d3c5900a60460f9346db34548c76d44d719e29d547,PARSED_WITH_MISSING_CHILD_REFERENCE
/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/GATED_CLOCK_PATH/GATED_CLOCK_PATH.gds,gen_nand2,False,GATED_CLOCK_PATH,sram_1rw_32x16_freepdk45_contact_12|sram_1rw_32x16_freepdk45_contact_13|sram_1rw_32x16_freepdk45_contact_14|sram_1rw_32x16_freepdk45_contact_14|sram_1rw_32x16_freepdk45_nmos_m1_w0_180_sactive_dm1|sram_1rw_32x16_freepdk45_nmos_m1_w0_180_sm1_dactive|sram_1rw_32x16_freepdk45_pmos_m1_w0_270_sm1_dm1|sram_1rw_32x16_freepdk45_pmos_m1_w0_270_sm1_dm1,"{""x0"": -0.055, ""y0"": -0.033, ""x1"": 0.9570000000000001, ""y1"": 1.4000000000000001, ""width"": 1.012, ""height"": 1.433}",5.737165,28,0,5,8,2/0|3/0|6/0|9/0|11/0|239/0,A|B|Z|gnd|vdd,5,gnd|vdd,2,True,False,False,False,False,False,False,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/GATED_CLOCK_PATH/generation_report.json,buffer|gated_clock_leaf_gate|inv|nand2,b3aeb17c0a125cb22b8379d3c5900a60460f9346db34548c76d44d719e29d547,PARSED_WITH_MISSING_CHILD_REFERENCE
/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/PRECHARGE_ENABLE_PATH/PRECHARGE_ENABLE_PATH.gds,PRECHARGE_ENABLE_PATH,True,,gen_delay_inv|gen_inv|gen_inv|gen_nand4|gen_precharge,"{""x0"": 0.025, ""y0"": 0.0, ""x1"": 4.246, ""y1"": 4.018, ""width"": 4.221, ""height"": 4.018}",0.0,0,0,0,5,,,0,,0,False,False,False,False,False,False,False,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/PRECHARGE_ENABLE_PATH/generation_report.json,delay_inv|enable_path_leaf_gate|inv|nand3|precharge_cell,40dd4d4fda6c0d50f4f210b8f8951f714169f3650e3205070b8ab51874c1e25b,PARSED_WITH_MISSING_CHILD_REFERENCE
/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/PRECHARGE_ENABLE_PATH/PRECHARGE_ENABLE_PATH.gds,gen_inv,False,PRECHARGE_ENABLE_PATH|PRECHARGE_ENABLE_PATH,sram_1rw_32x16_freepdk45_contact_12|sram_1rw_32x16_freepdk45_contact_13|sram_1rw_32x16_freepdk45_contact_14|sram_1rw_32x16_freepdk45_nmos_m1_w0_090_sm1_dm1_da_p|sram_1rw_32x16_freepdk45_pmos_m1_w0_270_sm1_dm1_da_p,"{""x0"": -0.055, ""y0"": -0.033, ""x1"": 0.743, ""y1"": 1.4000000000000001, ""width"": 0.798, ""height"": 1.433}",4.426475,17,0,4,5,2/0|3/0|6/0|9/0|11/0|239/0,A|Z|gnd|vdd,4,gnd|vdd,2,True,False,False,False,False,False,False,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/PRECHARGE_ENABLE_PATH/generation_report.json,delay_inv|enable_path_leaf_gate|inv|nand3|precharge_cell,40dd4d4fda6c0d50f4f210b8f8951f714169f3650e3205070b8ab51874c1e25b,PARSED_WITH_MISSING_CHILD_REFERENCE
/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/PRECHARGE_ENABLE_PATH/PRECHARGE_ENABLE_PATH.gds,gen_nand4,False,PRECHARGE_ENABLE_PATH,,"{""x0"": 0.0, ""y0"": 0.0, ""x1"": 2.6, ""y1"": 1.565, ""width"": 2.6, ""height"": 1.565}",8.5151,28,0,0,0,1/0|2/0|3/0|4/0|5/0|9/0|10/0|11/0,,0,,0,True,False,False,False,False,False,False,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/PRECHARGE_ENABLE_PATH/generation_report.json,delay_inv|enable_path_leaf_gate|inv|nand3|precharge_cell,40dd4d4fda6c0d50f4f210b8f8951f714169f3650e3205070b8ab51874c1e25b,PARSED_WITH_MISSING_CHILD_REFERENCE
/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/PRECHARGE_ENABLE_PATH/PRECHARGE_ENABLE_PATH.gds,gen_delay_inv,False,PRECHARGE_ENABLE_PATH,sram_1rw_32x16_freepdk45_contact_12|sram_1rw_32x16_freepdk45_contact_13|sram_1rw_32x16_freepdk45_contact_14|sram_1rw_32x16_freepdk45_nmos_m1_w0_090_sm1_dm1_da_p|sram_1rw_32x16_freepdk45_pmos_m1_w0_270_sm1_dm1_da_p,"{""x0"": -0.055, ""y0"": -0.033, ""x1"": 0.743, ""y1"": 2.505, ""width"": 0.798, ""height"": 2.538}",7.835335,17,0,4,5,2/0|3/0|6/0|9/0|11/0|239/0,A|Z|gnd|vdd,4,gnd|vdd,2,True,False,False,False,False,False,False,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/PRECHARGE_ENABLE_PATH/generation_report.json,delay_inv|enable_path_leaf_gate|inv|nand3|precharge_cell,40dd4d4fda6c0d50f4f210b8f8951f714169f3650e3205070b8ab51874c1e25b,PARSED_WITH_MISSING_CHILD_REFERENCE
/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/PRECHARGE_ENABLE_PATH/PRECHARGE_ENABLE_PATH.gds,gen_precharge,False,PRECHARGE_ENABLE_PATH,sram_1rw_32x16_freepdk45_contact_14|sram_1rw_32x16_freepdk45_contact_17|sram_1rw_32x16_freepdk45_contact_22|sram_1rw_32x16_freepdk45_contact_23|sram_1rw_32x16_freepdk45_contact_23|sram_1rw_32x16_freepdk45_contact_23|sram_1rw_32x16_freepdk45_contact_23|sram_1rw_32x16_freepdk45_pmos_m1_w0_270_sm1_dm1|sram_1rw_32x16_freepdk45_pmos_m1_w0_270_sm1_dm1|sram_1rw_32x16_freepdk45_pmos_m1_w0_270_sm1_dm1,"{""x0"": 0.0, ""y0"": -0.045, ""x1"": 0.705, ""y1"": 1.34, ""width"": 0.705, ""height"": 1.385}",2.40079,18,0,4,10,3/0|9/0|11/0|13/0|239/0,bl|br|en_bar|vdd,4,vdd,1,True,False,False,False,False,False,False,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/PRECHARGE_ENABLE_PATH/generation_report.json,delay_inv|enable_path_leaf_gate|inv|nand3|precharge_cell,40dd4d4fda6c0d50f4f210b8f8951f714169f3650e3205070b8ab51874c1e25b,PARSED_WITH_MISSING_CHILD_REFERENCE
/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/SENSE_ENABLE_PATH/SENSE_ENABLE_PATH.gds,SENSE_ENABLE_PATH,True,,gen_inv|gen_inv|gen_nand4|sense_amp,"{""x0"": 0.0, ""y0"": 0.0, ""x1"": 3.422, ""y1"": 7.575, ""width"": 3.422, ""height"": 7.575}",0.0,0,0,0,4,,,0,,0,False,False,False,False,False,False,False,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/SENSE_ENABLE_PATH/generation_report.json,enable_path_leaf_gate|inv|nand3|sense_amp,afc60be0f5407533693385ac30aea1af6a9d478cafc0655550d894dd7cb776da,PARSED_WITH_MISSING_CHILD_REFERENCE
/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/SENSE_ENABLE_PATH/SENSE_ENABLE_PATH.gds,gen_inv,False,SENSE_ENABLE_PATH|SENSE_ENABLE_PATH,sram_1rw_32x16_freepdk45_contact_12|sram_1rw_32x16_freepdk45_contact_13|sram_1rw_32x16_freepdk45_contact_14|sram_1rw_32x16_freepdk45_nmos_m1_w0_090_sm1_dm1_da_p|sram_1rw_32x16_freepdk45_pmos_m1_w0_270_sm1_dm1_da_p,"{""x0"": -0.055, ""y0"": -0.033, ""x1"": 0.743, ""y1"": 1.4000000000000001, ""width"": 0.798, ""height"": 1.433}",4.426475,17,0,4,5,2/0|3/0|6/0|9/0|11/0|239/0,A|Z|gnd|vdd,4,gnd|vdd,2,True,False,False,False,False,False,False,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/SENSE_ENABLE_PATH/generation_report.json,enable_path_leaf_gate|inv|nand3|sense_amp,afc60be0f5407533693385ac30aea1af6a9d478cafc0655550d894dd7cb776da,PARSED_WITH_MISSING_CHILD_REFERENCE
