artifact_name,path,file_size_bytes,top_cell,cell_count,sref_count,boundary_count,bbox,mux_presence,power_rail_overlap_positive_count,bitcell_rail_continuity_visible,rail_stitch_visible,is_golden
new_golden_reference,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M7_correct_golden_reference/current_supported_config/golden_reference.gds,389826,sram_8x64_wpr4_fd45,33,788,5418,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 36.6225, ""y1"": 44.145, ""width"": 36.722500000000004, ""height"": 44.25, ""shape_count"": 5418}",True,,UNKNOWN,UNKNOWN,True
historical_hybrid_openyield_complete,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/layout_prototype/hybrid_openyield_rail_overlap/hybrid_openyield_rail_overlap.complete.gds,286992,hybrid_openyield_rail_overlap,30,746,3854,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 42.7725, ""y1"": 47.345, ""width"": 42.8725, ""height"": 47.449999999999996, ""shape_count"": 3854}",True,33,True,True,False
M6R_reproduced,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M6R_reference_locked_reproduce/current_supported_config/layoutgen_hybrid_reproduced_M6R.gds,286992,hybrid_openyield_rail_overlap,30,746,3854,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 42.7725, ""y1"": 47.345, ""width"": 42.8725, ""height"": 47.449999999999996, ""shape_count"": 3854}",True,,UNKNOWN,UNKNOWN,False
M6_primary_output,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M6_layoutgen_spec_reproduce/current_supported_config/layoutgen_optimized_reproduced_sram.gds,223894,layoutgen_optimized_reproduced_sram,30,746,2868,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 42.7725, ""y1"": 47.345, ""width"": 42.8725, ""height"": 47.449999999999996, ""shape_count"": 2868}",True,33,True,True,False
M3F_complete,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M3F_optimized_layoutgen_restore/current_supported_config/openyield_optimized_layoutgen_sram.complete.gds,286996,openyield_optimized_layoutgen_sram,30,746,3854,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 42.7725, ""y1"": 47.345, ""width"": 42.8725, ""height"": 47.449999999999996, ""shape_count"": 3854}",True,33,True,True,False
M5_integrated,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M5_openyield_layoutgen_integration/current_supported_config/openyield_layoutgen_integrated_sram.gds,310208,openyield_layoutgen_integrated_sram__source_generated,66,1462,3646,"{""x0"": -0.1, ""y0"": -0.105, ""x1"": 42.7725, ""y1"": 47.4, ""width"": 42.8725, ""height"": 47.504999999999995, ""shape_count"": 3646}",True,33,True,True,False
