module_name,source_file,source_line,source_loop_context,instance_name_expression,instance_name_template,child_constructor_alias,child_source_class,child_logical_module,child_pin_order,parent_net_connections,pin_count,connection_count,pin_connection_count_match,parameter_expression,topology_resolution_status,branch_condition,method_name
DFF,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,231,,'inv4','inv4',self.inv_dff,Pinv,PINV,"['VDD', 'VSS', 'A', 'Z']","['VDD', 'VSS', 'z2', 'z3']",4,4,True,"{'num': '1', '__args__': 'nmos_model|pmos_model|2.5e-07|5e-07|5e-08'}",SOURCE_EXACT_RESOLVED,,add_dff
DFF,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,234,,'tg2','tg2',self.trans_dff,TransmissionGate,TRANSMISSION_GATE,"['VDD', 'VSS', 'IN', 'OUT', 'CTR_P', 'CTR_N']","['VDD', 'VSS', 'z3', 'z1', 'CLKB', 'CLK']",6,6,True,"{'nmos_model': ""'NMOS_VTG'"", 'pmos_model': ""'PMOS_VTG'""}",SOURCE_EXACT_RESOLVED,,add_dff
DFF,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,239,,'inv5','inv5',self.inv_dff,Pinv,PINV,"['VDD', 'VSS', 'A', 'Z']","['VDD', 'VSS', 'z2', 'z4']",4,4,True,"{'num': '1', '__args__': 'nmos_model|pmos_model|2.5e-07|5e-07|5e-08'}",SOURCE_EXACT_RESOLVED,,add_dff
DFF,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,242,,'tg3','tg3',self.trans_dff,TransmissionGate,TRANSMISSION_GATE,"['VDD', 'VSS', 'IN', 'OUT', 'CTR_P', 'CTR_N']","['VDD', 'VSS', 'z4', 'z5', 'CLKB', 'CLK']",6,6,True,"{'nmos_model': ""'NMOS_VTG'"", 'pmos_model': ""'PMOS_VTG'""}",SOURCE_EXACT_RESOLVED,,add_dff
DFF,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,246,,'inv6','inv6',self.inv_dff,Pinv,PINV,"['VDD', 'VSS', 'A', 'Z']","['VDD', 'VSS', 'z5', 'Q']",4,4,True,"{'num': '1', '__args__': 'nmos_model|pmos_model|2.5e-07|5e-07|5e-08'}",SOURCE_EXACT_RESOLVED,,add_dff
DFF,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,250,,'inv7','inv7',self.inv_dff,Pinv,PINV,"['VDD', 'VSS', 'A', 'Z']","['VDD', 'VSS', 'Q', 'QB']",4,4,True,"{'num': '1', '__args__': 'nmos_model|pmos_model|2.5e-07|5e-07|5e-08'}",SOURCE_EXACT_RESOLVED,,add_dff
DFF,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,254,,'tg4','tg4',self.trans_dff,TransmissionGate,TRANSMISSION_GATE,"['VDD', 'VSS', 'IN', 'OUT', 'CTR_P', 'CTR_N']","['VDD', 'VSS', 'QB', 'z5', 'CLK', 'CLKB']",6,6,True,"{'nmos_model': ""'NMOS_VTG'"", 'pmos_model': ""'PMOS_VTG'""}",SOURCE_EXACT_RESOLVED,,add_dff
DFF_BUF,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,288,,'dff','dff',self.dff1,dff,DFF,"['VDD', 'VSS', 'D', 'Q', 'CLK']","['VDD', 'VSS', 'D', 'qint', 'CLK']",5,5,True,{'__args__': 'nmos_model|pmos_model|length'},SOURCE_EXACT_RESOLVED,,add_dff_buf
DFF_BUF,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,292,,'inv1','inv1',self.inv1,Pinv,PINV,"['VDD', 'VSS', 'A', 'Z']","['VDD', 'VSS', 'qint', 'QB']",4,4,True,"{'length': '5e-08', 'num': '1', '__args__': 'nmos_model|pmos_model|1.8e-07|5.4e-07'}",SOURCE_EXACT_RESOLVED,,add_dff_buf
DFF_BUF,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,296,,'inv2','inv2',self.inv2,Pinv,PINV,"['VDD', 'VSS', 'A', 'Z']","['VDD', 'VSS', 'QB', 'Q']",4,4,True,"{'length': '5e-08', 'num': '2', '__args__': 'nmos_model|pmos_model|3.6e-07|1.08e-06'}",SOURCE_EXACT_RESOLVED,,add_dff_buf
