config_id,concrete_instance_name,parent_module,child_module,concrete_parameter_values,parent_net_connections,resolved_physical_cell_name,binding_status,source_trace
R16_C16_read&write,dff.inv_dff,dff,PINV,"{""resolved_channel_length_nm"": 50, ""resolved_nmos_width_nm"": 250, ""resolved_pmos_width_nm"": 500}",,PINV_NW250_PW500_L50,APPROVED_PRIMITIVE_BINDING,"{""config"": ""16x16"", ""scales"": {""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""dff.inv_dff""}"
R16_C16_read&write,pdrive.inv1,pdrive,PINV,"{""resolved_channel_length_nm"": 50, ""resolved_nmos_width_nm"": 90, ""resolved_pmos_width_nm"": 270}",,PINV_NW90_PW270_L50,APPROVED_PRIMITIVE_BINDING,"{""config"": ""16x16"", ""scales"": {""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""pdrive.inv1""}"
R16_C16_read&write,pdrive.inv2,pdrive,PINV,"{""resolved_channel_length_nm"": 50, ""resolved_nmos_width_nm"": 270, ""resolved_pmos_width_nm"": 810}",,PINV_NW270_PW810_L50,APPROVED_PRIMITIVE_BINDING,"{""config"": ""16x16"", ""scales"": {""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""pdrive.inv2""}"
R16_C16_read&write,pdrive.inv3,pdrive,PINV,"{""resolved_channel_length_nm"": 50, ""resolved_nmos_width_nm"": 910, ""resolved_pmos_width_nm"": 2430}",,PINV_NW910_PW2430_L50,APPROVED_PRIMITIVE_BINDING,"{""config"": ""16x16"", ""scales"": {""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""pdrive.inv3""}"
R16_C16_read&write,pdrive.inv4,pdrive,PINV,"{""resolved_channel_length_nm"": 50, ""resolved_nmos_width_nm"": 2430, ""resolved_pmos_width_nm"": 7290}",,PINV_NW2430_PW7290_L50,APPROVED_PRIMITIVE_BINDING,"{""config"": ""16x16"", ""scales"": {""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""pdrive.inv4""}"
R16_C16_read&write,pdrive2_for_pre.inv1,pdrive2_for_pre,PINV,"{""resolved_channel_length_nm"": 50, ""resolved_nmos_width_nm"": 90, ""resolved_pmos_width_nm"": 270}",,PINV_NW90_PW270_L50,APPROVED_PRIMITIVE_BINDING,"{""config"": ""16x16"", ""scales"": {""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""pdrive2_for_pre.inv1""}"
R16_C16_read&write,pdrive2_for_pre.inv2,pdrive2_for_pre,PINV,"{""resolved_channel_length_nm"": 50, ""resolved_nmos_width_nm"": 270, ""resolved_pmos_width_nm"": 810}",,PINV_NW270_PW810_L50,APPROVED_PRIMITIVE_BINDING,"{""config"": ""16x16"", ""scales"": {""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""pdrive2_for_pre.inv2""}"
R16_C16_read&write,wl_pdrive.inv1,wl_pdrive,PINV,"{""resolved_channel_length_nm"": 50, ""resolved_nmos_width_nm"": 90, ""resolved_pmos_width_nm"": 270}",,PINV_NW90_PW270_L50,APPROVED_PRIMITIVE_BINDING,"{""config"": ""16x16"", ""scales"": {""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""wl_pdrive.inv1""}"
R16_C16_read&write,wl_pdrive.inv2,wl_pdrive,PINV,"{""resolved_channel_length_nm"": 50, ""resolved_nmos_width_nm"": 450, ""resolved_pmos_width_nm"": 1350}",,PINV_NW450_PW1350_L50,APPROVED_PRIMITIVE_BINDING,"{""config"": ""16x16"", ""scales"": {""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""wl_pdrive.inv2""}"
R64_C8_read&write,AND2.inv_driver,AND2,PINV,"{""resolved_channel_length_nm"": 50, ""resolved_nmos_width_nm"": 90, ""resolved_pmos_width_nm"": 270}",,PINV_NW90_PW270_L50,APPROVED_PRIMITIVE_BINDING,"{""config"": ""64x8"", ""scales"": {""address_bits"": 6, ""clk_dff_count"": 16, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.13846153846153847, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 4.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""AND2.inv_driver""}"
R64_C8_read&write,AND3.inv_driver,AND3,PINV,"{""resolved_channel_length_nm"": 50, ""resolved_nmos_width_nm"": 90, ""resolved_pmos_width_nm"": 270}",,PINV_NW90_PW270_L50,APPROVED_PRIMITIVE_BINDING,"{""config"": ""64x8"", ""scales"": {""address_bits"": 6, ""clk_dff_count"": 16, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.13846153846153847, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 4.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""AND3.inv_driver""}"
R64_C8_read&write,DFF_BUF.inv1,DFF_BUF,PINV,"{""resolved_channel_length_nm"": 50, ""resolved_nmos_width_nm"": 180, ""resolved_pmos_width_nm"": 540}",,PINV_NW180_PW540_L50,APPROVED_PRIMITIVE_BINDING,"{""config"": ""64x8"", ""scales"": {""address_bits"": 6, ""clk_dff_count"": 16, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.13846153846153847, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 4.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""DFF_BUF.inv1""}"
R64_C8_read&write,DFF_BUF.inv2,DFF_BUF,PINV,"{""resolved_channel_length_nm"": 50, ""resolved_nmos_width_nm"": 360, ""resolved_pmos_width_nm"": 1080}",,PINV_NW360_PW1080_L50,APPROVED_PRIMITIVE_BINDING,"{""config"": ""64x8"", ""scales"": {""address_bits"": 6, ""clk_dff_count"": 16, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.13846153846153847, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 4.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""DFF_BUF.inv2""}"
R64_C8_read&write,D_latch.inv1,D_latch,PINV,"{""resolved_channel_length_nm"": 50, ""resolved_nmos_width_nm"": 180, ""resolved_pmos_width_nm"": 270}",,PINV_NW180_PW270_L50,APPROVED_PRIMITIVE_BINDING,"{""config"": ""64x8"", ""scales"": {""address_bits"": 6, ""clk_dff_count"": 16, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.13846153846153847, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 4.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""D_latch.inv1""}"
R64_C8_read&write,DelayChain.inv,DelayChain,PINV,"{""resolved_channel_length_nm"": 50, ""resolved_nmos_width_nm"": 90, ""resolved_pmos_width_nm"": 270}",,PINV_NW90_PW270_L50,APPROVED_PRIMITIVE_BINDING,"{""config"": ""64x8"", ""scales"": {""address_bits"": 6, ""clk_dff_count"": 16, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.13846153846153847, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 4.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""DelayChain.inv""}"
R64_C8_read&write,TIME.inv_clk_bar,TIME,PINV,"{""resolved_channel_length_nm"": 50, ""resolved_nmos_width_nm"": 90, ""resolved_pmos_width_nm"": 270}",,PINV_NW90_PW270_L50,APPROVED_PRIMITIVE_BINDING,"{""config"": ""64x8"", ""scales"": {""address_bits"": 6, ""clk_dff_count"": 16, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.13846153846153847, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 4.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""TIME.inv_clk_bar""}"
R64_C8_read&write,TIME.inv_rbl_delay_bar,TIME,PINV,"{""resolved_channel_length_nm"": 50, ""resolved_nmos_width_nm"": 90, ""resolved_pmos_width_nm"": 270}",,PINV_NW90_PW270_L50,APPROVED_PRIMITIVE_BINDING,"{""config"": ""64x8"", ""scales"": {""address_bits"": 6, ""clk_dff_count"": 16, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.13846153846153847, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 4.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""TIME.inv_rbl_delay_bar""}"
R64_C8_read&write,TIME.inv_wl_en_bar,TIME,PINV,"{""resolved_channel_length_nm"": 50, ""resolved_nmos_width_nm"": 90, ""resolved_pmos_width_nm"": 270}",,PINV_NW90_PW270_L50,APPROVED_PRIMITIVE_BINDING,"{""config"": ""64x8"", ""scales"": {""address_bits"": 6, ""clk_dff_count"": 16, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.13846153846153847, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 4.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""TIME.inv_wl_en_bar""}"
R64_C8_read&write,WenDelayChain.inv,WenDelayChain,PINV,"{""resolved_channel_length_nm"": 50, ""resolved_nmos_width_nm"": 90, ""resolved_pmos_width_nm"": 270}",,PINV_NW90_PW270_L50,APPROVED_PRIMITIVE_BINDING,"{""config"": ""64x8"", ""scales"": {""address_bits"": 6, ""clk_dff_count"": 16, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.13846153846153847, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 4.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""WenDelayChain.inv""}"
R64_C8_read&write,dff.inv_dff,dff,PINV,"{""resolved_channel_length_nm"": 50, ""resolved_nmos_width_nm"": 250, ""resolved_pmos_width_nm"": 500}",,PINV_NW250_PW500_L50,APPROVED_PRIMITIVE_BINDING,"{""config"": ""64x8"", ""scales"": {""address_bits"": 6, ""clk_dff_count"": 16, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.13846153846153847, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 4.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""dff.inv_dff""}"
R64_C8_read&write,pdrive.inv1,pdrive,PINV,"{""resolved_channel_length_nm"": 50, ""resolved_nmos_width_nm"": 90, ""resolved_pmos_width_nm"": 270}",,PINV_NW90_PW270_L50,APPROVED_PRIMITIVE_BINDING,"{""config"": ""64x8"", ""scales"": {""address_bits"": 6, ""clk_dff_count"": 16, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.13846153846153847, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 4.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""pdrive.inv1""}"
R64_C8_read&write,pdrive.inv2,pdrive,PINV,"{""resolved_channel_length_nm"": 50, ""resolved_nmos_width_nm"": 270, ""resolved_pmos_width_nm"": 810}",,PINV_NW270_PW810_L50,APPROVED_PRIMITIVE_BINDING,"{""config"": ""64x8"", ""scales"": {""address_bits"": 6, ""clk_dff_count"": 16, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.13846153846153847, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 4.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""pdrive.inv2""}"
R64_C8_read&write,pdrive.inv3,pdrive,PINV,"{""resolved_channel_length_nm"": 50, ""resolved_nmos_width_nm"": 910, ""resolved_pmos_width_nm"": 2430}",,PINV_NW910_PW2430_L50,APPROVED_PRIMITIVE_BINDING,"{""config"": ""64x8"", ""scales"": {""address_bits"": 6, ""clk_dff_count"": 16, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.13846153846153847, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 4.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""pdrive.inv3""}"
R64_C8_read&write,pdrive.inv4,pdrive,PINV,"{""resolved_channel_length_nm"": 50, ""resolved_nmos_width_nm"": 2430, ""resolved_pmos_width_nm"": 7290}",,PINV_NW2430_PW7290_L50,APPROVED_PRIMITIVE_BINDING,"{""config"": ""64x8"", ""scales"": {""address_bits"": 6, ""clk_dff_count"": 16, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.13846153846153847, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 4.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""pdrive.inv4""}"
R64_C8_read&write,pdrive2_for_pre.inv1,pdrive2_for_pre,PINV,"{""resolved_channel_length_nm"": 50, ""resolved_nmos_width_nm"": 90, ""resolved_pmos_width_nm"": 270}",,PINV_NW90_PW270_L50,APPROVED_PRIMITIVE_BINDING,"{""config"": ""64x8"", ""scales"": {""address_bits"": 6, ""clk_dff_count"": 16, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.13846153846153847, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 4.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""pdrive2_for_pre.inv1""}"
R64_C8_read&write,pdrive2_for_pre.inv2,pdrive2_for_pre,PINV,"{""resolved_channel_length_nm"": 50, ""resolved_nmos_width_nm"": 270, ""resolved_pmos_width_nm"": 810}",,PINV_NW270_PW810_L50,APPROVED_PRIMITIVE_BINDING,"{""config"": ""64x8"", ""scales"": {""address_bits"": 6, ""clk_dff_count"": 16, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.13846153846153847, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 4.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""pdrive2_for_pre.inv2""}"
R64_C8_read&write,wl_pdrive.inv1,wl_pdrive,PINV,"{""resolved_channel_length_nm"": 50, ""resolved_nmos_width_nm"": 90, ""resolved_pmos_width_nm"": 270}",,PINV_NW90_PW270_L50,APPROVED_PRIMITIVE_BINDING,"{""config"": ""64x8"", ""scales"": {""address_bits"": 6, ""clk_dff_count"": 16, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.13846153846153847, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 4.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""wl_pdrive.inv1""}"
R64_C8_read&write,wl_pdrive.inv2,wl_pdrive,PINV,"{""resolved_channel_length_nm"": 50, ""resolved_nmos_width_nm"": 450, ""resolved_pmos_width_nm"": 1350}",,PINV_NW450_PW1350_L50,APPROVED_PRIMITIVE_BINDING,"{""config"": ""64x8"", ""scales"": {""address_bits"": 6, ""clk_dff_count"": 16, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.13846153846153847, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 4.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""wl_pdrive.inv2""}"
