source_top_name,clone_root_name,renamed_root_name,output_gds,source_digest,clone_digest,non_text_geometry_preserved
PINV_NW250_PW500_L50,COMPOSE_CHILD__PINV_NW250_PW500_L50,COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C4A_dff_composite_generation/current_supported_config/DFF_TG4_INV7_FPDK45_3363e5e66d68/COMPOSE_CHILD__PINV_NW250_PW500_L50.gds,87c7df4d73380943d103c32f,87c7df4d73380943d103c32f,True
TRANSMISSION_GATE_NW250_PW500_L50,COMPOSE_CHILD__TRANSMISSION_GATE_NW250_PW500_L50,COMPOSE_CHILD__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C4A_dff_composite_generation/current_supported_config/DFF_TG4_INV7_FPDK45_3363e5e66d68/COMPOSE_CHILD__TRANSMISSION_GATE_NW250_PW500_L50.gds,152bb3b2454689a29f0e8cfe,152bb3b2454689a29f0e8cfe,True
