parent_composite_module,parent_instance_context,child_logical_alias,child_source_parameter_tuple,resolved_physical_cell_name,approved_reusable_root,geometry_fingerprint,canonical_pin_map,drc_report,connectivity_report,source_trace,binding_status,binding_failure_reason
DFF,tg1,TransmissionGate,"{""nmos_model"": ""'NMOS_VTG'"", ""pmos_model"": ""'PMOS_VTG'""}",TRANSMISSION_GATE_NW250_PW500_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells,b68406e28a47772360c61bc5,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/TRANSMISSION_GATE_NW250_PW500_L50/TRANSMISSION_GATE_NW250_PW500_L50_pin_map.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/drc/TRANSMISSION_GATE_NW250_PW500_L50.lyrdb,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/TRANSMISSION_GATE_NW250_PW500_L50/TRANSMISSION_GATE_NW250_PW500_L50_connectivity.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A3_transmission_gate_adapter_repair/current_supported_config/TRANSMISSION_GATE_NW250_PW500_L50/TRANSMISSION_GATE_NW250_PW500_L50_source_trace.json,APPROVED_EXACT_BINDING,
DFF,inv3,Pinv,"{""num"": ""1""}",PINV_NW250_PW500_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells,995439c9ef80de9824777943,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50_pin_map.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/drc/PINV_NW250_PW500_L50.lyrdb,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50_connectivity.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50_source_trace.json,APPROVED_EXACT_BINDING,
DFF,inv4,Pinv,"{""num"": ""1""}",PINV_NW250_PW500_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells,995439c9ef80de9824777943,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50_pin_map.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/drc/PINV_NW250_PW500_L50.lyrdb,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50_connectivity.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50_source_trace.json,APPROVED_EXACT_BINDING,
DFF,tg2,TransmissionGate,"{""nmos_model"": ""'NMOS_VTG'"", ""pmos_model"": ""'PMOS_VTG'""}",TRANSMISSION_GATE_NW250_PW500_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells,b68406e28a47772360c61bc5,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/TRANSMISSION_GATE_NW250_PW500_L50/TRANSMISSION_GATE_NW250_PW500_L50_pin_map.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/drc/TRANSMISSION_GATE_NW250_PW500_L50.lyrdb,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/TRANSMISSION_GATE_NW250_PW500_L50/TRANSMISSION_GATE_NW250_PW500_L50_connectivity.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A3_transmission_gate_adapter_repair/current_supported_config/TRANSMISSION_GATE_NW250_PW500_L50/TRANSMISSION_GATE_NW250_PW500_L50_source_trace.json,APPROVED_EXACT_BINDING,
DFF,inv5,Pinv,"{""num"": ""1""}",PINV_NW250_PW500_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells,995439c9ef80de9824777943,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50_pin_map.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/drc/PINV_NW250_PW500_L50.lyrdb,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50_connectivity.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50_source_trace.json,APPROVED_EXACT_BINDING,
DFF,tg3,TransmissionGate,"{""nmos_model"": ""'NMOS_VTG'"", ""pmos_model"": ""'PMOS_VTG'""}",TRANSMISSION_GATE_NW250_PW500_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells,b68406e28a47772360c61bc5,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/TRANSMISSION_GATE_NW250_PW500_L50/TRANSMISSION_GATE_NW250_PW500_L50_pin_map.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/drc/TRANSMISSION_GATE_NW250_PW500_L50.lyrdb,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/TRANSMISSION_GATE_NW250_PW500_L50/TRANSMISSION_GATE_NW250_PW500_L50_connectivity.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A3_transmission_gate_adapter_repair/current_supported_config/TRANSMISSION_GATE_NW250_PW500_L50/TRANSMISSION_GATE_NW250_PW500_L50_source_trace.json,APPROVED_EXACT_BINDING,
DFF,inv6,Pinv,"{""num"": ""1""}",PINV_NW250_PW500_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells,995439c9ef80de9824777943,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50_pin_map.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/drc/PINV_NW250_PW500_L50.lyrdb,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50_connectivity.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50_source_trace.json,APPROVED_EXACT_BINDING,
DFF,inv7,Pinv,"{""num"": ""1""}",PINV_NW250_PW500_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells,995439c9ef80de9824777943,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50_pin_map.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/drc/PINV_NW250_PW500_L50.lyrdb,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50_connectivity.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50_source_trace.json,APPROVED_EXACT_BINDING,
DFF,tg4,TransmissionGate,"{""nmos_model"": ""'NMOS_VTG'"", ""pmos_model"": ""'PMOS_VTG'""}",TRANSMISSION_GATE_NW250_PW500_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells,b68406e28a47772360c61bc5,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/TRANSMISSION_GATE_NW250_PW500_L50/TRANSMISSION_GATE_NW250_PW500_L50_pin_map.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/drc/TRANSMISSION_GATE_NW250_PW500_L50.lyrdb,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/TRANSMISSION_GATE_NW250_PW500_L50/TRANSMISSION_GATE_NW250_PW500_L50_connectivity.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A3_transmission_gate_adapter_repair/current_supported_config/TRANSMISSION_GATE_NW250_PW500_L50/TRANSMISSION_GATE_NW250_PW500_L50_source_trace.json,APPROVED_EXACT_BINDING,
DFF_BUF,dff,dff,{},,,,,,,,APPROVED_SHARED_PHYSICAL_VARIANT,composite child stays hierarchical; leaf primitive binding is resolved separately
DFF_BUF,inv1,Pinv,"{""length"": ""5e-08"", ""num"": ""1""}",PINV_NW180_PW540_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells,bdbb09ae6bafbd382b8bb88f,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW180_PW540_L50/PINV_NW180_PW540_L50_pin_map.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/drc/PINV_NW180_PW540_L50.lyrdb,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW180_PW540_L50/PINV_NW180_PW540_L50_connectivity.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/cells/PINV_NW180_PW540_L50/PINV_NW180_PW540_L50_source_trace.json,APPROVED_EXACT_BINDING,
DFF_BUF,inv2,Pinv,"{""length"": ""5e-08"", ""num"": ""2""}",PINV_NW360_PW1080_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells,94978c4bb09d28b0e9fc7ac9,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW360_PW1080_L50/PINV_NW360_PW1080_L50_pin_map.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/drc/PINV_NW360_PW1080_L50.lyrdb,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW360_PW1080_L50/PINV_NW360_PW1080_L50_connectivity.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/cells/PINV_NW360_PW1080_L50/PINV_NW360_PW1080_L50_source_trace.json,APPROVED_EXACT_BINDING,
delay_chain,dinv0,Pinv,"{""length"": ""5e-08"", ""num"": ""1""}",PINV_NW90_PW270_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells,3d0d21c2e747d8836861f878,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW90_PW270_L50/PINV_NW90_PW270_L50_pin_map.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/drc/PINV_NW90_PW270_L50.lyrdb,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW90_PW270_L50/PINV_NW90_PW270_L50_connectivity.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/cells/PINV_NW90_PW270_L50/PINV_NW90_PW270_L50_source_trace.json,APPROVED_EXACT_BINDING,
delay_chain,f'dload_0_{j},Pinv,"{""length"": ""5e-08"", ""num"": ""1""}",PINV_NW90_PW270_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells,3d0d21c2e747d8836861f878,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW90_PW270_L50/PINV_NW90_PW270_L50_pin_map.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/drc/PINV_NW90_PW270_L50.lyrdb,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW90_PW270_L50/PINV_NW90_PW270_L50_connectivity.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/cells/PINV_NW90_PW270_L50/PINV_NW90_PW270_L50_source_trace.json,APPROVED_EXACT_BINDING,
