module_name,source_file,source_class,source_function,source_line,child_instance_name,child_logical_module,child_constructor_expression,child_parameter_expression,child_pin_order,parent_net_connections,internal_net_names
DFF,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,dff,self.X,242,tg3,TransmissionGate,"TransmissionGate(nmos_model='NMOS_VTG', pmos_model='PMOS_VTG')","{'nmos_model': ""'NMOS_VTG'"", 'pmos_model': ""'PMOS_VTG'""}",[],"[""'VDD'"", ""'VSS'"", ""'z4'"", ""'z5'"", ""'CLKB'"", ""'CLK'""]","['CLKB', 'D_b', 'QB', 'z1', 'z2', 'z3', 'z4', 'z5']"
DFF,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,dff,self.X,246,inv6,Pinv,"Pinv(nmos_model, pmos_model, 2.5e-07, 5e-07, 5e-08, num=1)",{'num': '1'},[],"[""'VDD'"", ""'VSS'"", ""'z5'"", ""'Q'""]","['CLKB', 'D_b', 'QB', 'z1', 'z2', 'z3', 'z4', 'z5']"
DFF,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,dff,self.X,250,inv7,Pinv,"Pinv(nmos_model, pmos_model, 2.5e-07, 5e-07, 5e-08, num=1)",{'num': '1'},[],"[""'VDD'"", ""'VSS'"", ""'Q'"", ""'QB'""]","['CLKB', 'D_b', 'QB', 'z1', 'z2', 'z3', 'z4', 'z5']"
DFF,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,dff,self.X,254,tg4,TransmissionGate,"TransmissionGate(nmos_model='NMOS_VTG', pmos_model='PMOS_VTG')","{'nmos_model': ""'NMOS_VTG'"", 'pmos_model': ""'PMOS_VTG'""}",[],"[""'VDD'"", ""'VSS'"", ""'QB'"", ""'z5'"", ""'CLK'"", ""'CLKB'""]","['CLKB', 'D_b', 'QB', 'z1', 'z2', 'z3', 'z4', 'z5']"
DFF_BUF,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,DFF_BUF,self.X,288,dff,dff,"dff(nmos_model, pmos_model, length)",{},[],"[""'VDD'"", ""'VSS'"", ""'D'"", ""'qint'"", ""'CLK'""]",['qint']
DFF_BUF,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,DFF_BUF,self.X,292,inv1,Pinv,"Pinv(nmos_model, pmos_model, 1.8e-07, 5.4e-07, length=5e-08, num=1)","{'length': '5e-08', 'num': '1'}",[],"[""'VDD'"", ""'VSS'"", ""'qint'"", ""'QB'""]",['qint']
DFF_BUF,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,DFF_BUF,self.X,296,inv2,Pinv,"Pinv(nmos_model, pmos_model, 3.6e-07, 1.08e-06, length=5e-08, num=2)","{'length': '5e-08', 'num': '2'}",[],"[""'VDD'"", ""'VSS'"", ""'QB'"", ""'Q'""]",['qint']
delay_chain,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,DelayChain,self.X,333,dinv0,Pinv,"Pinv(nmos_model, pmos_model, 9e-08, 2.7e-07, length=5e-08, num=1)","{'length': '5e-08', 'num': '1'}",[],"[""'VDD'"", ""'VSS'"", ""'in'"", ""'dout_1'""]","['dout_1', 'dout_8']"
delay_chain,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,DelayChain,self.X,337,f'dload_0_{j},Pinv,"Pinv(nmos_model, pmos_model, 9e-08, 2.7e-07, length=5e-08, num=1)","{'length': '5e-08', 'num': '1'}",[],"[""'VDD'"", ""'VSS'"", ""'dout_1'"", ""f'n_0_{j}'""]","['dout_1', 'dout_8']"
delay_chain,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,DelayChain,self.X,343,f'dinv{i},Pinv,"Pinv(nmos_model, pmos_model, 9e-08, 2.7e-07, length=5e-08, num=1)","{'length': '5e-08', 'num': '1'}",[],"[""'VDD'"", ""'VSS'"", ""f'dout_{i}'"", ""f'dout_{i + 1}'""]","['dout_1', 'dout_8']"
