bank,bit,pin,source_pin,destination_pin,route_id,via_count,length,status
sense,13,BR,array.BR[13],sense.BR[13],sense_BR[13]_V41,0,34.62,PASS
sense,14,BL,array.BL[14],sense.BL[14],sense_BL[14]_V41,0,34.62,PASS
sense,14,BR,array.BR[14],sense.BR[14],sense_BR[14]_V41,0,34.62,PASS
sense,15,BL,array.BL[15],sense.BL[15],sense_BL[15]_V41,0,34.62,PASS
sense,15,BR,array.BR[15],sense.BR[15],sense_BR[15]_V41,0,34.62,PASS
write,0,BL,array.BL[0],write.BL[0],write_BL[0]_V41,0,49.47,PASS
write,0,BR,array.BR[0],write.BR[0],write_BR[0]_V41,0,49.47,PASS
write,1,BL,array.BL[1],write.BL[1],write_BL[1]_V41,0,49.47,PASS
write,1,BR,array.BR[1],write.BR[1],write_BR[1]_V41,0,49.47,PASS
write,2,BL,array.BL[2],write.BL[2],write_BL[2]_V41,0,49.47,PASS
write,2,BR,array.BR[2],write.BR[2],write_BR[2]_V41,0,49.47,PASS
write,3,BL,array.BL[3],write.BL[3],write_BL[3]_V41,0,49.47,PASS
write,3,BR,array.BR[3],write.BR[3],write_BR[3]_V41,0,49.47,PASS
write,4,BL,array.BL[4],write.BL[4],write_BL[4]_V41,0,49.47,PASS
write,4,BR,array.BR[4],write.BR[4],write_BR[4]_V41,0,49.47,PASS
write,5,BL,array.BL[5],write.BL[5],write_BL[5]_V41,0,49.47,PASS
write,5,BR,array.BR[5],write.BR[5],write_BR[5]_V41,0,49.47,PASS
write,6,BL,array.BL[6],write.BL[6],write_BL[6]_V41,0,49.47,PASS
write,6,BR,array.BR[6],write.BR[6],write_BR[6]_V41,0,49.47,PASS
write,7,BL,array.BL[7],write.BL[7],write_BL[7]_V41,0,49.47,PASS
write,7,BR,array.BR[7],write.BR[7],write_BR[7]_V41,0,49.47,PASS
write,8,BL,array.BL[8],write.BL[8],write_BL[8]_V41,0,49.47,PASS
