actual_length,bbox_height,bbox_width,cross_cluster_count,net,steiner_estimated_length,terminal_count,via_count
10.8216,3.34,5.0,0,CLK,10.02,6,0
10.5651,3.69,5.0,0,CLKB,9.7825,6,0
0.8532,0.79,0.0,0,D,0.79,2,0
3.5154,1.365,1.13,0,D_b,3.255,4,0
7.3413,6.24,0.5575,0,Q,6.7975,4,0
3.5154,1.365,1.13,0,QB,3.255,4,0
15.2928,5.1,5.0,0,VDD,14.16,7,0
15.2928,5.1,5.0,0,VSS,14.16,7,0
10.8945,6.115,2.07,0,z1,10.0875,6,0
10.0305,6.24,2.2575,0,z2,9.2875,6,0
3.5154,1.365,1.13,0,z3,3.255,4,0
3.5154,1.365,1.13,0,z4,3.255,4,0
10.6785,6.115,1.97,0,z5,9.8875,6,0
