actual_length,bbox_height,bbox_width,cross_cluster_count,net,steiner_estimated_length,terminal_count,via_count
10.3248,5.73,2.8,0,CLK,9.56,6,0
10.7244,5.73,2.8,0,CLKB,9.93,6,0
0.6804,0.63,0.0,0,D,0.63,2,0
3.3426,1.205,1.13,0,D_b,3.095,4,0
3.2643,1.205,0.9625,0,Q,3.0225,4,0
3.3426,1.205,1.13,0,QB,3.095,4,0
11.3832,5.1,3.56,0,VDD,10.54,7,0
11.3832,5.1,3.56,0,VSS,10.54,7,0
7.2063,1.205,3.0875,0,z1,6.6725,6,0
8.7723,5.955,0.9625,0,z2,8.1225,6,0
3.3426,1.205,1.13,0,z3,3.095,4,0
3.3426,1.205,1.13,0,z4,3.095,4,0
7.2063,1.205,3.0875,0,z5,6.6725,6,0
