actual_length,bbox_height,bbox_width,cross_cluster_count,net,steiner_estimated_length,terminal_count,via_count
10.8216,3.34,5.0,0,CLK,10.02,6,0
10.5651,3.69,5.0,0,CLKB,9.7825,6,0
0.8532,0.79,0.0,0,D,0.79,2,0
3.7746,1.365,1.25,0,D_b,3.495,4,0
7.4709,6.24,0.6775,0,Q,6.9175,4,0
3.7746,1.365,1.25,0,QB,3.495,4,0
15.4224,5.1,5.0,0,VDD,14.28,7,0
15.4224,5.1,5.0,0,VSS,14.28,7,0
10.8945,6.115,2.07,0,z1,10.0875,6,0
10.1601,6.24,2.3775,0,z2,9.4075,6,0
3.7746,1.365,1.25,0,z3,3.495,4,0
3.7746,1.365,1.25,0,z4,3.495,4,0
10.6785,6.115,1.97,0,z5,9.8875,6,0
