actual_length,bbox_height,bbox_width,cross_cluster_count,net,steiner_estimated_length,terminal_count,via_count
15.0012,5.73,4.76,0,CLK,13.89,6,0
15.8247,5.73,4.76,0,CLKB,14.6525,6,0
0.6804,0.63,0.0,0,D,0.63,2,0
2.3706,1.205,0.68,0,D_b,2.195,4,0
3.4749,1.205,1.1575,0,Q,3.2175,4,0
2.3706,1.205,0.68,0,QB,2.195,4,0
13.5864,5.1,4.76,0,VDD,12.58,7,0
13.5864,5.1,4.76,0,VSS,12.58,7,0
7.4331,1.205,3.77,0,z1,6.8825,6,0
8.8236,5.955,1.36,0,z2,8.17,6,0
3.8394,1.205,1.36,0,z3,3.555,4,0
3.8394,1.205,1.36,0,z4,3.555,4,0
6.6987,1.205,3.09,0,z5,6.2025,6,0
