kind,layer,length,net,reason,resource_id,waste_class,x0,x1,y0,y1
m2_trunk_landing,13,0.135,z5,trunk landing,140,REQUIRED_CONNECTIVITY,4.7725,4.9075,-0.3675,-0.2325
via2,14,0.065,z5,deduplicated row trunk access,141,REQUIRED_CONNECTIVITY,4.8075,4.8725,-0.3325,-0.2675
m3_pad,15,0.135,z5,deduplicated row trunk access,142,REQUIRED_CONNECTIVITY,4.7725,4.9075,-0.3675,-0.2325
m2_gate_bridge,13,3.625,Q,local M2 gate bridge,148,REQUIRED_CONNECTIVITY,0.605,4.23,-0.95,-0.88
m2_pad,13,0.135,Q,via1 enclosure,149,REQUIRED_CONNECTIVITY,0.5725,0.7075,-0.9825,-0.8475
m2_trunk_landing,13,0.135,Q,trunk landing,150,REQUIRED_CONNECTIVITY,4.1275,4.2625,-0.9825,-0.8475
via2,14,0.065,Q,deduplicated row trunk access,151,REQUIRED_CONNECTIVITY,4.1625,4.2275,-0.9475,-0.8825
m3_pad,15,0.135,Q,deduplicated row trunk access,152,REQUIRED_CONNECTIVITY,4.1275,4.2625,-0.9825,-0.8475
m2_gate_bridge,13,2.995,CLKB,local M2 gate bridge,158,REQUIRED_CONNECTIVITY,0.805,3.8,-1.36,-1.29
m2_pad,13,0.135,CLKB,via1 enclosure,159,REQUIRED_CONNECTIVITY,0.7725,0.9075,-1.3925,-1.2575
m2_trunk_landing,13,0.135,CLKB,trunk landing,160,REQUIRED_CONNECTIVITY,3.6975,3.8325,-1.3925,-1.2575
via2,14,0.065,CLKB,deduplicated row trunk access,161,REQUIRED_CONNECTIVITY,3.7325,3.7975,-1.3575,-1.2925
m3_pad,15,0.135,CLKB,deduplicated row trunk access,162,REQUIRED_CONNECTIVITY,3.6975,3.8325,-1.3925,-1.2575
m2_gate_bridge,13,2.5775,CLK,local M2 gate bridge,168,REQUIRED_CONNECTIVITY,1.0075,3.585,-1.565,-1.495
m2_pad,13,0.135,CLK,via1 enclosure,169,REQUIRED_CONNECTIVITY,0.975,1.11,-1.5975,-1.4625
m2_trunk_landing,13,0.135,CLK,trunk landing,170,REQUIRED_CONNECTIVITY,3.4825,3.6175,-1.5975,-1.4625
via2,14,0.065,CLK,deduplicated row trunk access,171,REQUIRED_CONNECTIVITY,3.5175,3.5825,-1.5625,-1.4975
m3_pad,15,0.135,CLK,deduplicated row trunk access,172,REQUIRED_CONNECTIVITY,3.4825,3.6175,-1.5975,-1.4625
m2_gate_bridge,13,3.45,z2,local M2 gate bridge,178,REQUIRED_CONNECTIVITY,1.21,4.66,-0.54,-0.47
m2_pad,13,0.135,z2,via1 enclosure,179,REQUIRED_CONNECTIVITY,1.1775,1.3125,-0.5725,-0.4375
m2_trunk_landing,13,0.135,z2,trunk landing,180,REQUIRED_CONNECTIVITY,4.5575,4.6925,-0.5725,-0.4375
via2,14,0.065,z2,deduplicated row trunk access,181,REQUIRED_CONNECTIVITY,4.5925,4.6575,-0.5375,-0.4725
m3_pad,15,0.135,z2,deduplicated row trunk access,182,REQUIRED_CONNECTIVITY,4.5575,4.6925,-0.5725,-0.4375
m2_gate_bridge,13,3.2475,z2,local M2 gate bridge,188,REQUIRED_CONNECTIVITY,1.4125,4.66,-0.54,-0.47
m2_pad,13,0.135,z2,via1 enclosure,189,REQUIRED_CONNECTIVITY,1.38,1.515,-0.5725,-0.4375
m2_trunk_landing,13,0.135,z2,trunk landing,190,REQUIRED_CONNECTIVITY,4.5575,4.6925,-0.5725,-0.4375
m2_gate_bridge,13,1.97,CLK,local M2 gate bridge,196,REQUIRED_CONNECTIVITY,1.615,3.585,-1.565,-1.495
m2_pad,13,0.135,CLK,via1 enclosure,197,REQUIRED_CONNECTIVITY,1.5825,1.7175,-1.5975,-1.4625
m2_trunk_landing,13,0.135,CLK,trunk landing,198,REQUIRED_CONNECTIVITY,3.4825,3.6175,-1.5975,-1.4625
m2_gate_bridge,13,1.985,CLKB,local M2 gate bridge,204,REQUIRED_CONNECTIVITY,1.815,3.8,-1.36,-1.29
m2_pad,13,0.135,CLKB,via1 enclosure,205,REQUIRED_CONNECTIVITY,1.7825,1.9175,-1.3925,-1.2575
m2_trunk_landing,13,0.135,CLKB,trunk landing,206,REQUIRED_CONNECTIVITY,3.6975,3.8325,-1.3925,-1.2575
m2_gate_bridge,13,1.9975,D,local M2 gate bridge,212,REQUIRED_CONNECTIVITY,2.0175,4.015,-1.155,-1.085
m2_pad,13,0.135,D,via1 enclosure,213,REQUIRED_CONNECTIVITY,1.985,2.12,-1.1875,-1.0525
m2_trunk_landing,13,0.135,D,trunk landing,214,REQUIRED_CONNECTIVITY,3.9125,4.0475,-1.1875,-1.0525
via2,14,0.065,D,deduplicated row trunk access,215,REQUIRED_CONNECTIVITY,3.9475,4.0125,-1.1525,-1.0875
m3_pad,15,0.135,D,deduplicated row trunk access,216,REQUIRED_CONNECTIVITY,3.9125,4.0475,-1.1875,-1.0525
m2_gate_bridge,13,2.225,z1,local M2 gate bridge,222,REQUIRED_CONNECTIVITY,2.22,4.445,-0.745,-0.675
m2_pad,13,0.135,z1,via1 enclosure,223,REQUIRED_CONNECTIVITY,2.1875,2.3225,-0.7775,-0.6425
m2_trunk_landing,13,0.135,z1,trunk landing,224,REQUIRED_CONNECTIVITY,4.3425,4.4775,-0.7775,-0.6425
via2,14,0.065,z1,deduplicated row trunk access,225,REQUIRED_CONNECTIVITY,4.3775,4.4425,-0.7425,-0.6775
m3_pad,15,0.135,z1,deduplicated row trunk access,226,REQUIRED_CONNECTIVITY,4.3425,4.4775,-0.7775,-0.6425
