variant,bbox_width,bbox_height,area,pins,output_buffer_stages,selected_use
DFF_BUF_FPDK45_6058eaf43739_HPA1,18.315,5.51,100.91565,"D,CLK,Q,QB,VDD,VSS",2,retain only for control DFFs with Q/QB fanout
DFF_TG4_INV7_FPDK45_26d9543b82b7,13.745,4.2525,58.4506125,"D,CLK,Q,VDD,VSS",0,use for DFFs with no QB fanout in current binding
