DRC,LVS,candidate,height,height_class,source
DRC_PASS,LVS_PASS,DFF_RECT_RIGHT_FOREST_REFERENCE,5.735,H0,derived from manufacturing geometry plus declared boundary margin
DRC_PASS,LVS_PASS,DFF_RECT_LOCAL_Z2_ENV080,5.735,H1,derived from manufacturing geometry plus declared boundary margin
DRC_PASS,LVS_PASS,DFF_RECT_BAND_SHIFT_TS045_TP038,5.545,H2,derived from manufacturing geometry plus declared boundary margin
DRC_PASS,LVS_PASS,DFF_RECT_BAND_SHIFT_P266,5.625,H3,derived from manufacturing geometry plus declared boundary margin
DRC_PASS,LVS_PASS,DFF_RECT_BAND_SHIFT_WIDE,5.545,H4,derived from manufacturing geometry plus declared boundary margin
DRC_FAIL,LVS_PASS,DFF_RECT_GP180_COUNTEREXAMPLE,5.585,H5,derived from manufacturing geometry plus declared boundary margin
