actual_length,bbox_height,bbox_width,cross_cluster_count,net,steiner_estimated_length,terminal_count,via_count
10.3032,3.18,5.0,0,CLK,9.54,6,0
10.2195,3.53,5.0,0,CLKB,9.4625,6,0
0.6804,0.63,0.0,0,D,0.63,2,0
3.4722,1.205,1.19,0,D_b,3.215,4,0
3.3291,1.205,1.0225,0,Q,3.0825,4,0
3.4722,1.205,1.19,0,QB,3.215,4,0
9.8172,2.55,5.82,0,VDD,9.09,7,0
9.8172,2.55,5.82,0,VSS,9.09,7,0
7.8489,1.205,3.5075,0,z1,7.2675,6,0
4.7925,1.205,1.7,0,z2,4.4375,6,0
3.4722,1.205,1.19,0,z3,3.215,4,0
3.4722,1.205,1.19,0,z4,3.215,4,0
7.7409,1.205,3.4075,0,z5,7.1675,6,0
